                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 17 ATS 14 ATS 9 ATS 15 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 17 ATS 14 ATP 9 ATS 15 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 17 ATS 14 ATP 9 ATP 15 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 17 ATS 14 ATP 9 ATP 15 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  ATH 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  ATH 1000.0  PAB 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  ATH 1000.0  PAB 1000.0  ATH 1000.0  WAR 958.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  ATH 1000.0  WAR 903.0  ATH 1000.0  WAR 958.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  ATH 1000.0  WAR 903.0  PAB 1000.0  WAR 958.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  ATH 1000.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  PAB 1000.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATP 17 ATP 14 ATP 9 ATP 15 
WFB  PAB 1000.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATP 17 ATSL 14 ATP 9 ATP 15 
WFB  PAB 1000.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATP 17 ATSL 14 ATP 9 ATSL 15 
WFB  PAB 1000.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATSL 17 ATSL 14 ATP 9 ATSL 15 
WFB  PAB 1000.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATSL 17 ATSL 14 ATSL 9 ATSL 15 
WFB  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATSL 17 ATSL 14 ATSL 9 ATSL 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATSL 17 ATSL 14 ATSL 9 ATSL 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATSL 17 ATSL 14 R 9 ATSL 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATSL 17 ATSL 14 R 9 R 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 R 17 ATSL 14 R 9 R 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 R 17 R 14 R 9 R 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATFL 17 R 14 R 9 R 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATFL 17 R 14 ATFL 9 R 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATFL 17 R 14 ATFL 9 ATFL 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATFL 17 ATFL 14 ATFL 9 ATFL 15 
SA  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATFL 17 ATFL 14 ATFL 9 ATFL 15 
ANR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATFL 17 ATFL 14 ATFL 9 ATFL 15 
WFB  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATFL 17 ATFL 14 ATFL 9 ATFL 15 
STR  WAR 995.0  WAR 903.0  WAR 924.0  WAR 958.0  0 ATFL 17 ATFL 14 ATFL 9 ATFL 15 
